raw_symbol,instrument_id,date
TQQQ  270115C00113000,1426090698,2025-03-15
TQQQ  270115C00113000,1426090698,2025-03-16
TQQQ  270115C00113000,1426083435,2025-03-17
TQQQ  270115C00113000,1426075769,2025-03-18
TQQQ  270115C00113000,1426107365,2025-03-19
TQQQ  270115C00113000,1426099290,2025-03-20
TQQQ  270115C00113000,1426066225,2025-03-21
TQQQ  270115C00113000,1426066225,2025-03-22
TQQQ  270115C00113000,1426066225,2025-03-23
TQQQ  270115C00113000,1426078949,2025-03-24
TQQQ  270115C00113000,1426099147,2025-03-25
TQQQ  250404P00055000,1442849403,2025-02-26
TQQQ  250404P00055000,1442855288,2025-02-27
TQQQ  250404P00055000,1442861130,2025-02-28
TQQQ  250404P00055000,1442861130,2025-03-01
TQQQ  250404P00055000,1442861130,2025-03-02
TQQQ  250404P00055000,1442865602,2025-03-03
TQQQ  250404P00055000,1442870817,2025-03-04
TQQQ  250404P00055000,1442864748,2025-03-05
TQQQ  250404P00055000,1442849818,2025-03-06
TQQQ  250404P00055000,1442865129,2025-03-07
TQQQ  250404P00055000,1442865129,2025-03-08
TQQQ  250404P00055000,1442865129,2025-03-09
TQQQ  250404P00055000,1442870881,2025-03-10
TQQQ  250404P00055000,1442860825,2025-03-11
TQQQ  250404P00055000,1442860581,2025-03-12
TQQQ  250404P00055000,1442872067,2025-03-13
TQQQ  250404P00055000,1442849561,2025-03-14
TQQQ  250404P00055000,1442849561,2025-03-15
TQQQ  250404P00055000,1442849561,2025-03-16
TQQQ  250404P00055000,1442857017,2025-03-17
TQQQ  250404P00055000,1442872563,2025-03-18
TQQQ  250404P00055000,1442865946,2025-03-19
TQQQ  250404P00055000,1442849094,2025-03-20
TQQQ  250404P00055000,1442843352,2025-03-21
TQQQ  250404P00055000,1442843352,2025-03-22
TQQQ  250404P00055000,1442843352,2025-03-23
TQQQ  250404P00055000,1442873129,2025-03-24
TQQQ  250404P00055000,1442851354,2025-03-25
TQQQ  270115C00125000,1426072756,2025-02-26
TQQQ  270115C00125000,1426080302,2025-02-27
TQQQ  270115C00125000,1426104430,2025-02-28
TQQQ  270115C00125000,1426104430,2025-03-01
TQQQ  270115C00125000,1426104430,2025-03-02
TQQQ  270115C00125000,1426080225,2025-03-03
TQQQ  270115C00125000,1426081875,2025-03-04
TQQQ  270115C00125000,1426105567,2025-03-05
TQQQ  270115C00125000,1426089666,2025-03-06
TQQQ  270115C00125000,1426107500,2025-03-07
TQQQ  270115C00125000,1426107500,2025-03-08
TQQQ  270115C00125000,1426107500,2025-03-09
TQQQ  270115C00125000,1426090944,2025-03-10
TQQQ  270115C00125000,1426073229,2025-03-11
TQQQ  270115C00125000,1426089561,2025-03-12
TQQQ  270115C00125000,1426081458,2025-03-13
TQQQ  270115C00125000,1426081588,2025-03-14
TQQQ  270115C00125000,1426081588,2025-03-15
TQQQ  270115C00125000,1426081588,2025-03-16
TQQQ  270115C00125000,1426065753,2025-03-17
TQQQ  270115C00125000,1426074360,2025-03-18
TQQQ  270115C00125000,1426065221,2025-03-19
TQQQ  270115C00125000,1426081773,2025-03-20
TQQQ  270115C00125000,1426065245,2025-03-21
TQQQ  270115C00125000,1426065245,2025-03-22
TQQQ  270115C00125000,1426065245,2025-03-23
TQQQ  270115C00125000,1426068954,2025-03-24
TQQQ  270115C00125000,1426078354,2025-03-25
TQQQ  250919C00079000,1426095969,2025-02-26
TQQQ  250919C00079000,1426065921,2025-02-27
TQQQ  250919C00079000,1426105152,2025-02-28
TQQQ  250919C00079000,1426105152,2025-03-01
TQQQ  250919C00079000,1426105152,2025-03-02
TQQQ  250919C00079000,1426090309,2025-03-03
TQQQ  250919C00079000,1426074891,2025-03-04
TQQQ  250919C00079000,1426074020,2025-03-05
TQQQ  250919C00079000,1426107056,2025-03-06
TQQQ  250919C00079000,1426091385,2025-03-07
TQQQ  250919C00079000,1426091385,2025-03-08
TQQQ  250919C00079000,1426091385,2025-03-09
TQQQ  250919C00079000,1426108932,2025-03-10
TQQQ  250919C00079000,1426082139,2025-03-11
TQQQ  250919C00079000,1426098414,2025-03-12
TQQQ  250919C00079000,1426106652,2025-03-13
TQQQ  250919C00079000,1426066020,2025-03-14
TQQQ  250919C00079000,1426066020,2025-03-15
TQQQ  250919C00079000,1426066020,2025-03-16
TQQQ  250919C00079000,1426083297,2025-03-17
TQQQ  250919C00079000,1426092058,2025-03-18
TQQQ  250919C00079000,1426066059,2025-03-19
TQQQ  250919C00079000,1426090926,2025-03-20
TQQQ  250919C00079000,1426083276,2025-03-21
TQQQ  250919C00079000,1426083276,2025-03-22
TQQQ  250919C00079000,1426083276,2025-03-23
TQQQ  250919C00079000,1426087374,2025-03-24
TQQQ  250919C00079000,1426079092,2025-03-25
TQQQ  270115C00081000,1426081077,2025-02-26
TQQQ  270115C00081000,1426066048,2025-02-27
TQQQ  270115C00081000,1426089551,2025-02-28
TQQQ  270115C00081000,1426089551,2025-03-01
TQQQ  270115C00081000,1426089551,2025-03-02
TQQQ  270115C00081000,1426082122,2025-03-03
TQQQ  270115C00081000,1426099265,2025-03-04
TQQQ  270115C00081000,1426090302,2025-03-05
TQQQ  270115C00081000,1426066413,2025-03-06
TQQQ  270115C00081000,1426091507,2025-03-07
TQQQ  270115C00081000,1426091507,2025-03-08
TQQQ  270115C00081000,1426091507,2025-03-09
TQQQ  270115C00081000,1426091853,2025-03-10
TQQQ  270115C00081000,1426066191,2025-03-11
TQQQ  270115C00081000,1426090524,2025-03-12
TQQQ  270115C00081000,1426066195,2025-03-13
TQQQ  270115C00081000,1426066135,2025-03-14
TQQQ  270115C00081000,1426066135,2025-03-15
TQQQ  270115C00081000,1426066135,2025-03-16
TQQQ  270115C00081000,1426083443,2025-03-17
TQQQ  270115C00081000,1426100374,2025-03-18
TQQQ  270115C00081000,1426090968,2025-03-19
TQQQ  270115C00081000,1426066198,2025-03-20
TQQQ  270115C00081000,1426100551,2025-03-21
TQQQ  270115C00081000,1426100551,2025-03-22
TQQQ  270115C00081000,1426100551,2025-03-23
TQQQ  270115C00081000,1426113350,2025-03-24
TQQQ  270115C00081000,1426079163,2025-03-25
TQQQ  250411C00088000,1426110565,2025-02-28
TQQQ  250411C00088000,1426110565,2025-03-01
TQQQ  250411C00088000,1426110565,2025-03-02
TQQQ  250411C00088000,1426075992,2025-03-03
TQQQ  250411C00088000,1426077593,2025-03-04
TQQQ  250411C00088000,1426067811,2025-03-05
TQQQ  250411C00088000,1426109356,2025-03-06
TQQQ  250411C00088000,1426067158,2025-03-07
TQQQ  250411C00088000,1426067158,2025-03-08
